Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Imagine Dragons,United States,2008–present,2012,Pop rock / electropop / pop,"124.4 million US: 87.5 million GER: 5.450 million UK: 12 million FRA: 3.333 million CAN: 4.640 million AUS: 3.150 million BRA: 750,000 ITA: 2.375 million SPA: 240,000 SWE: 1.180 million NOR: 555,000 DEN: 690,000 MEX: 510,000 BEL: 340,000 AUT: 572,500 POL: 790,000 NZ: 270,000 POR: 140,000",75 million
Luke Bryan,United States,2001–present,2007,Country / country pop,84.5 million US: 82.5 million CAN: 2.040 million,75 million
Christina Aguilera,United States,1993–present,1998,R&B / pop / rock,"76.6 million US: 53.7 million JPN: 600,000 GER: 2.075 million UK: 10.470 million FRA: 575,000 CAN: 3.020 million AUS: 2.620 million BRA: 100,000 NLD: 170,000 ITA: 215,000 SPA: 310,000 SWE: 500,000 DEN: 445,500 SWI: 225,000 MEX: 885,000 ARG: 100,000 BEL: 260,000 AUT: 140,000 NZ: 195,000",75 million
Tupac Shakur,United States,1991–1996,1991,Hip-hop,"59.9 million US: 51.7 million GER: 650,000 UK: 5.895 million FRA: 100,000 CAN: 820,000 AUS: 430,000 NLD: 200,000 DEN: 200,000",75 million
Alabama,United States,1972–present,1980,Country / pop rock,58 million US: 56.8 million CAN: 1.2 million,75 million
R. Kelly,United States,1989–2019,1991,R&B / soul / hip-hop,"56.8 million US: 46.9 million GER: 1.4 million UK: 6.520 million FRA: 825,000 CAN: 300,000 AUS: 140,000 NLD: 365,000 SWI: 100,000 BEL: 275,000",75 million
Nirvana,United States,1987–1994,1990,Grunge / alternative rock,"56 million US: 30.2 million JPN: 1.3 million GER: 1.5 million UK: 9.070 million FRA: 2.6 million CAN: 3.690 million AUS: 2.202 million BRA: 725,000 NLD: 250,000 ITA: 460,000 SPA: 450,000 SWE: 380,000 NOR: 125,000 DEN: 345,000 SWI: 190,000 MEX: 475,000 ARG: 522,000 BEL: 675,000 AUT: 230,000 POL: 430,000 NZ: 215,000",75 million
Bob Seger,United States,1961–present,1967,Rock / Hard rock/ Pop rock,"55.3 million US: 52.5 million UK: 260,000 million FRA: 2.6 million CAN: 2.560 million",75 million
Kenny G,United States,1982–present,1984,Smooth jazz,"53.9 million US: 49.6 million JPN: 700,000 UK: 360,000 CAN: 950,000 AUS: 525,000 BRA: 1.350 million SPA: 450,000",75 million
Green Day,United States,1987–present,1994,Punk rock / pop punk / alternative rock,"52.8 million US: 29.1 million JPN: 2.3 million GER: 2 million UK: 11.610 million FRA: 500,000 CAN: 2.420 million AUS: 1.8 million BRA: 480,000 ITA: 585,000 SPA: 250,000 SWE: 160,000 DEN: 414,000 SWI: 135,000 MEX: 150,000 ARG: 246,000 BEL: 115,000 AUT: 195,000 IRE: 270,000 NZ: 130,000",75 million
Gloria Estefan,United States,1975–present,1984,Latin pop / dance pop,"37.6 million US: 25.9 million JPN: 600,000 GER: 250,000 UK: 4.210 million FRA: 325,000 CAN: 750,000 AUS: 455,000 NLD: 625,000 SPA: 3.240 million SWI: 110,000 MEX: 825,000 ARG: 380,000",75 million
Barry Manilow,United States,1973–present,1973,Pop / soft rock,"36.7 million US: 33.3 million UK: 3.225 million CAN: 400,000",75 million
Kiss,United States,1972–present,1974,Hard rock / heavy metal,"28.7 million US: 26 million JPN: 100,000 UK: 800,000 CAN: 1.495 million AUS: 130,000 NLD: 200,000",75 million
Aretha Franklin,United States,1956–2018,1961,Soul / jazz / blues / R&B,"26.6 million US: 23.5 million UK: 2.640 million FRA: 275,000 CAN: 150,000 ITA: 110,000",75 million
