Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Alicia Keys,United States,1996–present,2001,Hip-hop / R&B / pop,"85.8 million US: 66.050 million JPN: 1.050 million GER: 2.250 million UK: 9.220 million FRA: 1.127 million CAN: 1.6 million AUS: 2.170 million NLD: 460,000 ITA: 310,000 SPA: 260,000 SWE: 200,000 DEN: 277,500 SWI: 275,000 MEX: 240,000 BEL: 185,000 AUT: 115,000 POL: 100,000",90 million
Lionel Richie,United States,1968–present,1981,Pop / R&B,"43 million US: 28.650 million GER: 1.050 million UK: 8.155 million FRA: 1.4 million CAN: 2.380 million AUS: 260,000 BRA: 100,000 NLD: 605,000 SPA: 150,000 SWI: 170,000 BEL: 100,000",90 million
Johnny Cash,United States,1954–2003,1956,Country / rock and roll / gospel,"32.2 million US: 25.7 million GER: 550,000 UK: 5.010 million CAN: 490,000 AUS: 522,500",90 million
Justin Timberlake,United States,1992–present,2002,Pop / R&B / neo soul,"82.8 million US: 50.2 million JPN: 200,000 GER: 3.9 million UK: 17.070 million FRA: 778,000 CAN: 3.360 million AUS: 2.915 million BRA: 105,000 NLD: 185,000 ITA: 520,000 SPA: 220,000 SWE: 560,000 DEN: 1.125 million SWI: 250,000 MEX: 710,000 BEL: 325,000 POL: 240,000 NZ: 227,500",88 million
Ariana Grande,United States,2008–present,2013,Pop / R&B,"143.2 million US: 88.5 million JPN: 1.3 million GER: 2.5 million UK: 24.6 million FRA: 1.974 million CAN: 7.320 million AUS: 4.695 million BRA: 1.560 million NLD: 140,000 ITA: 1.375 million SPA: 380,000 SWE: 710,000 NOR: 3.180 million DEN: 1.430 million SWI: 460,000 MEX: 810,000 BEL: 270,000 AUT: 120,000 POL: 1.010 million NZ: 502,500 POR: 185,000",85 million
R.E.M.,United States,1980–2011,1983,Alternative rock,"45.3 million US: 21.650 million GER: 4.275 million UK: 10.460 million FRA: 1.450 million CAN: 2.650 million AUS: 1.030 million BRA: 100,000 NLD: 100,000 ITA: 255,000 SPA: 1.1 million SWE: 500,000 NOR: 135,000 DEN: 290,000 SWI: 450,000 ARG: 158,000 BEL: 210,000 AUT: 350,000 IRE: 127,500 NZ: 105,000",85 million
Post Malone,United States,2013–present,2015,Pop / R&B / hip-hop,"174.4 million US: 122.5 million GER: 2.4 million UK: 20.4 million FRA: 1.533 million CAN: 13.440 million AUS: 6.545 million BRA: 1.2 million ITA: 810,000 SWE: 900,000 NOR: 420,000 DEN: 2.290 million MEX: 330,000 BEL: 235,000 POL: 290,000 NZ: 840,000 POR: 295,000",80 million
Flo Rida,United States,2007–present,2007,Hip-hop / hip house /EDM,"85 million US: 59 million JPN: 650,000 GER: 4.1 million UK: 11.260 million FRA: 225,000 CAN: 3.090 million AUS: 3.605 million ITA: 515,000 SPA: 140,000 SWE: 780,000 DEN: 420,000 SWI: 420,000 MEX: 330,000 AUT: 210,000 POL: 100,000 NZ: 247,500",80 million
Usher,United States,1991–present,1994,R&B / pop,"76.6 million US: 54.415 million JPN: 750,000 GER: 1.150 million UK: 12.925 million FRA: 210,000 CAN: 1.850 million AUS: 4.222 million ITA: 125,000 SWE: 105,000 DEN: 382,500 SWI: 170,000 MEX: 210,000 NZ: 150,000",80 million
Tim McGraw,United States,1990–present,1994,Country,"72.3 million US: 80.650 million UK: 200,000 CAN: 1.535 million",80 million
The Black Eyed Peas,United States,1995–present,1998,Hip-hop / R&B / dance,"69.7 million US: 34.930 million JPN: 1.250 million GER: 3.3 million UK: 13.8 million FRA: 3.516 million CAN: 3.1 million AUS: 3.882 million BRA: 475,000 NLD: 160,000 ITA: 825,000 SPA: 690,000 SWE: 350,000 DEN: 226,000 SWI: 540,000 MEX: 1.440 million BEL: 560,000 POL: 110,000 IRE: 135,000 NZ: 340,000 POR: 104,000",80 million
Van Halen,United States,1978–2020,1978,Hard rock / heavy metal,"65.2 million US: 57.8 million JPN: 1.3 million GER: 1.5 million UK: 1.180 million FRA: 400,000 CAN: 2.450 million AUS: 175,000 BRA: 200,000 NLD: 200,000",80 million
Tom Petty,United States,1976–2017,1977,Rock,"36 million US: 31.750 million GER: 500,000 UK: 1.860 million CAN: 1.7 million SWE: 200,000",80 million
